Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
55,No,Travel_Rarely,282,Research & Development,2,2,Medical,1,956,4,Female,58,1,5,Manager,3,Married,19187,6992,4,Y,No,14,3,4,80,1,23,5,3,19,9,9,11
39,No,Travel_Rarely,141,Human Resources,3,3,Human Resources,1,552,3,Female,44,4,2,Human Resources,2,Married,6389,18767,9,Y,No,15,3,3,80,1,12,3,1,8,3,3,6
22,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,735,2,Male,94,1,1,Laboratory Technician,1,Married,2451,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,250,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,Y,No,17,3,4,80,1,9,1,3,3,2,0,2
45,No,Travel_Rarely,538,Research & Development,1,4,Technical Degree,1,1100,1,Male,66,3,3,Healthcare Representative,2,Divorced,7441,20933,1,Y,No,12,3,1,80,3,10,4,3,10,8,7,7
40,Yes,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,1172,1,Male,73,3,1,Laboratory Technician,1,Single,2166,3339,3,Y,Yes,14,3,2,80,0,10,3,1,4,2,0,3
35,No,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,1,509,2,Male,82,1,2,Research Scientist,4,Single,6646,19368,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8
29,No,Travel_Rarely,991,Sales,5,3,Medical,1,1189,1,Male,43,2,2,Sales Executive,2,Divorced,4187,3356,1,Y,Yes,13,3,2,80,1,10,3,2,10,0,0,9
36,No,Travel_Rarely,188,Research & Development,7,4,Other,1,681,2,Male,65,3,1,Research Scientist,4,Single,4678,23293,2,Y,No,18,3,3,80,0,8,6,3,6,2,0,1
27,No,Travel_Frequently,1410,Sales,3,1,Medical,1,522,4,Female,71,4,2,Sales Executive,4,Divorced,4647,16673,1,Y,Yes,20,4,2,80,2,6,3,3,6,5,0,4
33,No,Travel_Rarely,147,Human Resources,2,3,Human Resources,1,864,2,Male,99,3,1,Human Resources,3,Married,3600,8429,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4
37,Yes,Travel_Rarely,625,Sales,1,4,Life Sciences,1,696,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,Y,No,11,3,3,80,0,17,2,1,14,1,11,7
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,171,3,Male,51,3,1,Research Scientist,2,Married,3058,13364,0,Y,Yes,16,3,4,80,1,6,3,2,5,2,1,1
56,No,Non-Travel,667,Research & Development,1,4,Life Sciences,1,1442,3,Male,57,3,2,Healthcare Representative,3,Divorced,6306,26236,1,Y,No,21,4,1,80,1,13,2,2,13,12,1,9
33,No,Travel_Rarely,217,Sales,10,4,Marketing,1,1364,2,Male,43,3,2,Sales Executive,3,Single,5487,10410,1,Y,No,14,3,2,80,0,10,2,2,10,4,0,9
53,No,Travel_Rarely,868,Sales,8,3,Marketing,1,647,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,Y,No,14,3,3,80,1,28,3,3,2,0,2,2
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,403,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,331,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,42,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
21,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1153,3,Male,97,3,1,Research Scientist,4,Single,3117,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2
53,No,Travel_Rarely,970,Research & Development,7,3,Life Sciences,1,535,3,Male,59,4,4,Research Director,3,Married,14814,13514,3,Y,No,19,3,3,80,0,32,3,3,5,1,1,3
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,337,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,201,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,357,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,217,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,Y,No,15,3,3,80,0,9,5,2,6,3,0,1
25,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,994,1,Male,93,4,2,Sales Executive,3,Married,6232,12477,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,105,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
34,No,Travel_Rarely,1400,Sales,9,1,Life Sciences,1,835,2,Female,70,3,2,Sales Executive,3,Married,5714,5829,1,Y,No,20,4,1,80,0,6,3,2,6,5,1,3
36,No,Travel_Rarely,913,Research & Development,9,2,Medical,1,512,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847,13934,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,97,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,1,262,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,Y,No,18,3,4,80,1,13,0,3,8,7,7,5
44,No,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,892,1,Female,72,4,1,Research Scientist,4,Married,2011,19982,1,Y,No,13,3,4,80,1,10,5,3,10,5,7,7
28,No,Non-Travel,120,Sales,4,3,Medical,1,98,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
45,No,Non-Travel,1050,Sales,9,4,Life Sciences,1,806,2,Female,65,2,2,Sales Executive,3,Married,5593,17970,1,Y,No,13,3,4,80,1,15,2,3,15,10,4,12
44,Yes,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,954,1,Male,89,3,1,Laboratory Technician,1,Married,2362,14669,4,Y,No,12,3,3,80,0,10,4,4,3,2,1,2
29,No,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,894,1,Female,97,3,1,Research Scientist,4,Divorced,3760,5598,1,Y,No,15,3,1,80,3,3,5,3,3,2,1,2
35,No,Non-Travel,727,Research & Development,3,3,Life Sciences,1,516,3,Male,41,2,1,Laboratory Technician,3,Married,1281,16900,1,Y,No,18,3,3,80,2,1,3,3,1,0,0,0
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,192,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3
58,Yes,Travel_Rarely,601,Research & Development,7,4,Medical,1,967,3,Female,53,2,3,Manufacturing Director,1,Married,10008,12023,7,Y,Yes,14,3,4,80,0,31,0,2,10,9,5,9
24,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1061,2,Male,89,3,1,Laboratory Technician,1,Single,3172,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0
31,No,Travel_Frequently,715,Sales,2,4,Other,1,1145,4,Male,54,3,2,Sales Executive,1,Single,5332,21602,7,Y,No,13,3,4,80,0,10,3,3,5,2,0,3
26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,289,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,276,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2
27,No,Travel_Rarely,618,Research & Development,4,3,Life Sciences,1,671,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,Y,No,19,3,3,80,0,1,2,3,1,1,0,0
45,No,Travel_Frequently,1297,Research & Development,1,4,Medical,1,1363,2,Male,44,3,2,Healthcare Representative,3,Single,5399,14511,4,Y,No,12,3,3,80,0,12,3,3,4,2,0,3
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,229,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,Y,No,14,3,1,80,0,10,3,4,10,7,0,8
43,No,Travel_Rarely,930,Research & Development,6,3,Medical,1,996,1,Female,73,2,2,Research Scientist,3,Single,4081,20003,1,Y,Yes,14,3,1,80,0,20,3,1,20,7,1,8
46,Yes,Travel_Rarely,377,Sales,9,3,Marketing,1,1032,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4,Y,No,11,3,1,80,1,28,1,4,7,7,4,3
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,44,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
42,No,Travel_Rarely,557,Research & Development,18,4,Life Sciences,1,1420,4,Male,35,3,2,Research Scientist,1,Divorced,5410,11189,6,Y,Yes,17,3,3,80,1,9,3,2,4,3,1,2
32,No,Non-Travel,1184,Research & Development,1,3,Life Sciences,1,683,3,Female,70,2,1,Laboratory Technician,2,Married,2332,3974,6,Y,No,20,4,3,80,0,5,3,3,3,0,0,2
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,170,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,Y,No,20,4,1,80,0,8,2,3,5,4,1,4
41,No,Travel_Rarely,167,Research & Development,12,4,Life Sciences,1,831,2,Male,46,3,1,Laboratory Technician,4,Married,4766,9051,3,Y,Yes,11,3,1,80,1,6,4,3,1,0,0,0
27,No,Travel_Frequently,294,Research & Development,10,2,Life Sciences,1,538,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793,4809,1,Y,No,21,4,3,80,2,9,4,2,9,7,1,7
28,Yes,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1057,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2
27,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,1,531,3,Female,68,3,3,Manufacturing Director,1,Married,7412,6009,1,Y,No,11,3,4,80,0,9,3,3,9,7,0,7
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,1,269,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Y,Yes,14,3,2,80,0,21,2,3,20,7,4,10
29,Yes,Travel_Rarely,408,Sales,23,1,Life Sciences,1,837,4,Female,45,2,3,Sales Executive,1,Married,7336,11162,1,Y,No,13,3,1,80,1,11,3,1,11,8,3,10
31,No,Non-Travel,325,Research & Development,5,3,Medical,1,1464,2,Male,74,3,2,Manufacturing Director,1,Single,9936,3787,0,Y,No,19,3,2,80,0,10,2,3,9,4,1,7
31,No,Travel_Rarely,691,Sales,7,3,Marketing,1,322,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7
48,No,Travel_Rarely,715,Research & Development,1,3,Life Sciences,1,905,4,Male,76,2,5,Research Director,4,Single,18265,8733,6,Y,No,12,3,3,80,0,25,3,4,1,0,0,0
34,No,Travel_Rarely,167,Research & Development,8,5,Life Sciences,1,561,2,Female,32,3,2,Manufacturing Director,1,Divorced,5121,4187,3,Y,No,14,3,3,80,1,7,3,3,0,0,0,0
55,No,Travel_Rarely,836,Research & Development,2,4,Technical Degree,1,1337,2,Male,98,2,1,Research Scientist,4,Married,2662,7975,8,Y,No,20,4,2,80,1,19,2,4,5,2,0,4
25,No,Travel_Rarely,583,Sales,4,1,Marketing,1,639,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3
27,No,Travel_Rarely,205,Sales,10,3,Marketing,1,997,4,Female,98,2,2,Sales Executive,4,Married,5769,7100,1,Y,Yes,11,3,4,80,0,6,3,3,6,2,4,4
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,270,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,Y,No,11,3,3,80,1,16,4,3,15,13,10,11
35,Yes,Travel_Rarely,1204,Sales,4,3,Technical Degree,1,792,4,Male,86,3,3,Sales Executive,1,Single,9582,10333,0,Y,Yes,22,4,1,80,0,9,2,3,8,7,4,7
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,373,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
28,No,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,820,1,Male,67,2,1,Research Scientist,2,Married,3201,19911,0,Y,No,17,3,1,80,0,6,2,1,5,3,0,4
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,224,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0,Y,No,12,3,3,80,2,17,6,2,16,10,5,13
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,57,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,32,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
55,No,Travel_Rarely,478,Research & Development,2,3,Medical,1,1265,3,Male,60,2,5,Research Director,1,Married,19038,19805,8,Y,No,12,3,2,80,3,34,2,3,1,0,0,0
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,432,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
21,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,778,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,362,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,65,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
46,No,Travel_Rarely,566,Research & Development,7,2,Medical,1,724,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,Y,No,13,3,2,80,1,13,3,3,8,7,0,7
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,259,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,491,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0
51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,1,300,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,248,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,Y,No,13,3,2,80,1,13,3,3,11,9,5,9
36,No,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1,1181,1,Male,77,3,1,Laboratory Technician,2,Single,2013,10950,2,Y,No,11,3,3,80,0,15,4,3,4,3,1,3
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,226,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,No,17,3,1,80,1,7,6,3,1,0,0,0
34,No,Travel_Rarely,628,Research & Development,8,3,Medical,1,1470,2,Male,82,4,2,Laboratory Technician,3,Married,4404,10228,2,Y,No,12,3,1,80,0,6,3,4,4,3,1,2
47,No,Travel_Rarely,1180,Research & Development,25,3,Medical,1,1415,1,Male,84,3,3,Healthcare Representative,3,Single,8633,13084,2,Y,No,23,4,2,80,0,25,3,3,17,14,12,11
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,108,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,596,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8
56,No,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,1024,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,Y,No,22,4,4,80,1,5,3,4,3,2,1,0
38,Yes,Travel_Rarely,903,Research & Development,2,3,Medical,1,1113,3,Male,81,3,2,Manufacturing Director,2,Married,4855,7653,4,Y,No,11,3,1,80,2,7,2,3,5,2,1,4
34,No,Travel_Frequently,829,Research & Development,15,3,Medical,1,1056,2,Male,71,3,4,Research Director,1,Divorced,17007,11929,7,Y,No,14,3,4,80,2,16,3,2,14,8,6,9
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,251,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,Y,No,11,3,2,80,2,17,5,3,1,0,0,0
29,No,Travel_Frequently,410,Research & Development,2,1,Life Sciences,1,1073,4,Female,97,3,1,Laboratory Technician,2,Married,3180,4668,0,Y,No,13,3,3,80,3,4,3,3,3,2,0,2
40,No,Travel_Rarely,118,Sales,14,2,Life Sciences,1,1133,4,Female,84,3,2,Sales Executive,1,Married,4639,11262,1,Y,No,15,3,3,80,1,5,2,3,5,4,1,2
31,Yes,Travel_Rarely,202,Research & Development,8,3,Life Sciences,1,1017,1,Female,34,2,1,Research Scientist,2,Single,1261,22262,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,417,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,143,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2
45,No,Non-Travel,248,Research & Development,23,2,Life Sciences,1,719,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Y,Yes,15,3,3,80,1,9,2,3,9,8,0,8
32,No,Non-Travel,976,Sales,26,4,Marketing,1,242,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,Y,No,18,3,1,80,0,4,2,3,3,2,2,2
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,286,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,144,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,206,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9
30,No,Non-Travel,1398,Sales,22,4,Other,1,424,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
36,No,Travel_Rarely,1040,Research & Development,3,2,Life Sciences,1,1184,4,Male,79,4,2,Healthcare Representative,1,Divorced,6842,26308,6,Y,No,20,4,1,80,1,13,3,3,5,4,0,4
26,Yes,Travel_Rarely,1330,Research & Development,21,3,Medical,1,798,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0
33,No,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,510,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,233,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2
30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,355,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
45,No,Travel_Rarely,950,Research & Development,28,3,Technical Degree,1,1093,4,Male,97,3,1,Research Scientist,4,Married,2132,4585,4,Y,No,20,4,4,80,1,8,3,3,5,4,0,3
39,No,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,527,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10
48,No,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,1,1332,4,Male,91,2,5,Research Director,2,Married,19665,13583,4,Y,No,12,3,4,80,0,29,3,3,22,10,12,9
34,No,Travel_Rarely,507,Sales,15,2,Medical,1,965,3,Female,66,3,2,Sales Executive,1,Single,6125,23553,1,Y,No,12,3,4,80,0,10,6,4,10,8,9,6
38,No,Travel_Rarely,1206,Research & Development,9,2,Life Sciences,1,1377,2,Male,71,3,1,Research Scientist,4,Divorced,4771,14293,2,Y,No,19,3,4,80,2,10,0,4,5,2,0,3
38,No,Travel_Rarely,1404,Sales,1,3,Life Sciences,1,1392,1,Male,59,2,1,Sales Representative,1,Single,2858,11473,4,Y,No,14,3,1,80,0,20,3,2,1,0,0,0
53,No,Travel_Rarely,447,Research & Development,2,3,Medical,1,1044,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,Y,No,12,3,2,80,0,35,2,2,9,8,8,8
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,196,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,1,7
31,Yes,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,1034,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7
53,No,Travel_Rarely,1376,Sales,2,2,Medical,1,702,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,Y,No,13,3,3,80,1,22,3,4,17,13,15,2
22,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,1424,4,Male,63,3,1,Research Scientist,3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2
31,No,Travel_Frequently,1125,Sales,7,4,Marketing,1,1307,1,Female,68,3,3,Sales Executive,1,Married,9637,8277,2,Y,No,14,3,4,80,2,9,3,3,3,2,2,2
34,No,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1,1213,2,Female,35,2,1,Research Scientist,4,Married,2929,20338,1,Y,No,12,3,2,80,0,10,3,3,10,9,8,7
41,No,Travel_Rarely,642,Research & Development,1,3,Life Sciences,1,1421,4,Male,76,3,1,Research Scientist,4,Married,2782,21412,3,Y,No,22,4,1,80,1,12,3,3,5,3,1,0
32,No,Travel_Rarely,638,Research & Development,8,2,Medical,1,627,3,Female,91,4,2,Research Scientist,3,Married,5175,22162,5,Y,No,12,3,3,80,1,9,3,2,5,3,1,3
46,No,Travel_Rarely,1402,Sales,2,3,Marketing,1,862,3,Female,69,3,4,Manager,1,Married,17048,24097,8,Y,No,23,4,1,80,0,28,2,3,26,15,15,9
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,412,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
32,No,Non-Travel,300,Research & Development,1,3,Life Sciences,1,638,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,Y,No,12,3,2,80,1,4,2,3,3,0,0,2
36,No,Travel_Rarely,884,Sales,1,4,Life Sciences,1,1122,2,Female,73,3,2,Sales Executive,3,Single,6815,21447,6,Y,No,13,3,1,80,0,15,5,3,1,0,0,0
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,428,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
47,No,Travel_Rarely,202,Research & Development,2,2,Other,1,593,3,Female,33,3,4,Manager,4,Married,16752,12982,1,Y,Yes,11,3,3,80,1,26,3,2,26,14,3,0
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,371,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
40,No,Travel_Rarely,444,Sales,2,2,Marketing,1,1411,2,Female,92,3,2,Sales Executive,2,Married,5677,4258,3,Y,No,14,3,3,80,1,15,4,3,11,8,5,10
43,No,Travel_Rarely,415,Sales,25,3,Medical,1,776,3,Male,79,2,3,Sales Executive,4,Divorced,10798,5268,5,Y,No,13,3,3,80,1,18,5,3,1,0,0,0
42,No,Travel_Rarely,855,Research & Development,12,3,Medical,1,1264,2,Male,57,3,1,Laboratory Technician,2,Divorced,2766,8952,8,Y,No,22,4,2,80,3,7,6,2,5,3,0,4
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,257,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Y,Yes,11,3,3,80,1,10,4,3,9,6,7,8
23,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1202,4,Male,93,2,1,Laboratory Technician,3,Single,3989,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2
32,No,Travel_Rarely,267,Research & Development,29,4,Life Sciences,1,1427,3,Female,49,2,1,Laboratory Technician,2,Single,2837,15919,1,Y,No,13,3,3,80,0,6,3,3,6,2,4,1
58,No,Travel_Frequently,1216,Research & Development,15,4,Life Sciences,1,1311,1,Male,87,3,4,Research Director,3,Married,15787,21624,2,Y,Yes,14,3,2,80,0,23,3,3,2,2,2,2
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,20,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
36,No,Travel_Rarely,1383,Research & Development,10,3,Life Sciences,1,1279,4,Male,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Y,Yes,13,3,4,80,1,15,1,3,12,8,5,7
24,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1026,4,Female,42,3,2,Sales Executive,3,Married,4162,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3
33,No,Travel_Rarely,654,Research & Development,5,3,Life Sciences,1,791,4,Male,34,2,3,Healthcare Representative,4,Divorced,7119,21214,4,Y,No,15,3,3,80,1,9,2,3,3,2,1,2
24,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,1098,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0
